City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,orichi,58.4036,49.0572,284.64,96,100,5.22,RU,1746421877
331,galliano,29.4422,-90.2992,293.15,83,100,0.0,US,1746421878
332,aioun,16.6614,-9.6149,303.8,23,74,3.69,MR,1746421879
333,toliara,-23.35,43.6667,294.58,66,97,7.95,MG,1746421880
334,nar'yan-mar,67.6713,53.087,274.0,100,100,2.42,RU,1746421881
335,auki,-8.7676,160.7034,302.33,71,61,1.7,SB,1746421882
336,sao vicente,-23.9631,-46.3919,293.7,26,80,0.67,BR,1746421589
337,puerto baquerizo moreno,-0.9,-89.6,297.08,83,16,2.68,EC,1746421885
338,panacan,9.2463,118.4082,302.08,75,100,3.95,PH,1746421886
339,grand falls-windsor,48.9332,-55.6649,278.99,80,100,3.84,CA,1746421887
340,san juan,-31.5375,-68.5364,286.65,68,92,2.61,AR,1746421802
341,sao felix do xingu,-6.6447,-51.995,295.34,88,56,0.91,BR,1746421889
342,fes al bali,34.0701,-4.9547,287.22,100,75,1.03,MA,1746421890
343,turkmenbasy,40.0222,52.9552,294.24,63,100,3.61,TM,1746421891
344,guarapari,-20.6667,-40.4975,293.91,86,69,1.35,BR,1746421641
345,buarcos,40.166,-8.8768,286.67,91,1,0.67,PT,1746421893
346,ulladulla,-35.35,150.4667,296.77,54,86,4.21,AU,1746421894
347,mont-laurier,46.5501,-75.4993,282.47,64,87,2.53,CA,1746421712
348,inegol,40.0781,29.5133,282.75,67,9,1.42,TR,1746421896
349,kailua-kona,19.6406,-155.9956,297.35,93,68,2.3,US,1746421898
350,zaozersk,69.4005,32.4476,272.08,83,100,6.6,RU,1746421899
351,klaksvik,62.2266,-6.589,279.65,82,72,6.55,FO,1746421900
352,kharp,66.8014,65.8081,272.85,90,100,4.49,RU,1746421901
353,vredendal,-31.6683,18.5012,291.7,21,0,4.14,ZA,1746421902
354,misratah,32.3754,15.0925,295.65,51,100,2.84,LY,1746421903
355,novyy urgal,51.0736,132.5642,284.8,34,100,4.48,RU,1746421904
356,mihalgazi,40.0262,30.5771,286.93,46,0,0.59,TR,1746421905
357,aoji,42.5206,130.3953,290.54,29,100,4.69,KP,1746421906
358,ginir,7.1333,40.7,289.94,80,100,1.45,ET,1746421907
